UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Latin America and the Caribbean,2022,233993839,28.16,6589266.51,39.02,13.62,21.26,16.13,42.25,11.13,0.871,73321.3,70.29
Northern America,2022,53559856,16.4,878381.64,72.58,31.2,50.91,10.15,31.59,22.04,0.713,65078.62,44.3
Sub Saharan Africa,2022,98719293,20.37,2010912,76.58,31.85,98.36,23.44,40.59,14.83,0.084,35294.77,17.32
Western Asia,2022,135870587,13.41,1822024.57,38.15,8.1,1.25,29.94,52.75,13.57,0.524,4134.43,86.78
Latin America and the Caribbean,2020,41547062,22.51,935224.37,10.81,10.62,11.95,15.48,31.12,30.3,0.386,54930.53,26.82
Western Asia,2022,208813568,28.31,5911512.11,35.77,18.12,54.44,15.88,10.03,3.19,0.619,59703.84,86.05
Northern Africa,2024,21838979,13.63,297665.28,59.85,10.63,59.63,14.82,13.43,19.98,0.29,35293.97,42.63
Latin America and the Caribbean,2020,211737729,4.56,965524.04,8.94,4.71,24.49,32.67,32.48,19.18,0.616,7392.63,27.05
Western Asia,2024,177026325,13.71,2427030.92,,7.43,15.44,21.31,44.46,28.71,0.029,623.62,91.52
Western Asia,2020,146360732,21.44,3137974.09,36.23,6.03,39.71,27.84,64.02,17.05,0.172,43606.5,79.8
Latin America and the Caribbean,2020,11944617,12.36,147635.47,81.82,17.86,24.35,15.9,39.49,15.4,0.296,17060.48,85.55
Sub Saharan Africa,2024,202109090,4.84,978208,48.59,15.82,80.88,17.01,23.93,33.71,0.311,29415.67,45.27
Southern Asia,2022,191093843,3.03,579014.34,50.81,12.47,53.73,13.4,17.68,8.15,0.364,3121.83,78.73
Europe,2021,81409991,29.7,2417876.73,48.14,33.8,49.15,21.82,47.36,32.97,0.242,39036.31,46.35
Central Asia,2023,37988569,5.4,205138.27,70.3,60.39,13.51,16.37,17.26,16.41,0.862,21658.29,49.05
Europe,2023,13929416,15.24,212284.3,83.79,64.67,75.51,22.79,8.48,19.83,0.157,59682.91,30.77
Oceania,2021,171421647,9.29,1592507.1,7.84,4.06,56.45,27.7,62.36,21.69,0.966,41323.55,72.67
Central Asia,2023,144655116,11.99,1734414.84,47.72,3.55,58.86,21.97,26.82,1.06,0.341,6746.13,53.61
Northern Africa,2022,N/A,28.46,4100318.95,79.08,13.76,37.05,31.51,38.69,0.82,0.045,10045.26,97.78
Northern America,2023,160706491,8.42,1353148.65,81.9,24.58,80.92,33.39,40.16,5.67,0.612,9434.4,80.17
South-Eastern Asia,2020,68350766,20.64,1410759.81,21.25,6.3,16.8,10.74,56.48,30.79,0.073,64023.52,43.37
Latin America and the Caribbean,2021,104016533,6.57,683388.62,53.9,52.41,83.07,18.48,69.82,17.67,0.605,1676.25,31.19
Northern America,2020,111023671,9.61,1066937.48,28.02,4.86,73.23,18.92,13.35,32.39,0.368,9976.9,20.01
Latin America and the Caribbean,2024,238418755,22.35,5328659.17,64.25,3.57,80.03,20.34,11.12,16.75,0.461,17808.13,30.15
Europe,2023,154147323,19.3,2975043.33,29.9,6.7,32.06,32,20.84,32.03,0.656,5930.02,47.21
Southern Asia,2024,123982566,21.9,2715218.2,71.25,56.25,87.9,36.17,59.91,23.09,0.217,64284.99,19.6
Western Asia,2021,220195595,9.68,2131493.36,81.82,7.32,44.65,11.23,6.73,26,0.24,62728.1,32.91
Europe,2020,27923062,15.51,433086.69,48.15,10.41,57.11,25.86,31.07,11.47,0.004,,37.26
Europe ,2024,105448872,12.97,1367671.87,32.84,12.2,55.77,14.39,37.14,18.94,0.938,,67.98
Latin America and the Caribbean,2024,71552115,16.66,1192058.24,81.41,81.33,42.49,13.06,62.41,4.8,0.532,41830.3,96.19
Sub-Saharan Africa,2022,185604694,19.02,3530201.28,29.46,17.88,92.56,28.17,8.2,22.52,0.132,28189.13,45.47
Europe,2023,240592489,18.35,4414872.17,150,17.79,22.98,14.44,42.1,21.85,0.424,60876.07,44.17
Sub-Saharan Africa,2022,38296194,3.81,145908.5,40.27,25.81,19.27,31.39,44.79,34.18,0.308,11901.9,83.39
Central Asia,2024,209918809,7.98,1675152.1,28.3,11.71,9.25,25.19,33.85,29.1,0.651,7830.92,16.66
Southern Asia,2020,223651714,27.54,6159368.2,75.94,38.9,89.73,18.25,66.42,21.56,0.116,74282.2,53.07
Western Asia,2020,22191596,25.87,574096.59,72.24,67.84,68.32,28.59,57.39,17.29,0.95,61444.06,17.52
Latin America and the Caribbean,2023,234024293,7.1,1661572.48,10.48,9.46,22.7,19.48,16.71,27.46,0.472,13927.9,53.94
Southern Asia,2023,206478876,16.22,3349087.37,49.74,10.62,6.29,39.7,53.6,4.38,0.172,11490.31,23.46
Central Asia,2023,134666952,13.11,1765483.74,31.99,15.92,53.26,32.86,30.83,6.36,0.7,,84.58
Central Asia,2024,193907113,15.9,3083123.1,47.68,24.68,7.76,30.27,63.48,9.06,0.478,70245.11,84.86
Sub-Saharan Africa,2020,205901647,18.25,3757705.06,5.2,3.25,57.57,29.61,41.26,17.28,0.301,41756.05,57.42
Western Asia,2022,112228334,3.43,384943.19,39.99,29.56,84.4,18.17,25.27,0.36,0.16,60654.58,84.65
Southern Asia,2024,112928127,5.88,664017.39,56.74,46.38,75.99,10.66,67.55,33.82,0.359,71862.89,42.31
Europe,2023,11657191,13.21,153991.49,,8.83,40.94,25.57,55.42,9.45,0.269,60644.46,
Northern Africa,2021,222728701,23.84,5309852.23,65.44,4.46,20.68,17.77,52.94,5.51,0.822,59117.15,18.76
Eastern Asia,2023,17721354,11.1,196707.03,67.32,13.21,82.15,16.31,26.9,20,0.226,35251.88,58.19
Central Asia,2024,68605423,10.24,702519.53,7.16,6.03,22.62,32.55,38.36,22.2,0.092,31700.13,73.56
Northern Africa,2021,114314747,4.24,484694.53,57.89,39.36,7,25.9,43.1,34.4,0.336,7953.04,29.14
Sub-Saharan Africa,2020,170672493,2.64,450575.38,28.04,13.64,91.12,31.41,67.92,3.83,0.919,53747.05,78.7
South-Eastern Asia,2020,57755747,10.3,594884.19,,43.75,19.01,39.44,40.72,2.99,0.82,58811.33,45.47
Northern America,2020,82246899,18.23,1499360.97,58.83,50.58,32.73,32.24,45.64,31.38,0.686,7854.11,43.08
Eastern Asia,2022,69694332,24.26,1690784.49,75.18,53.06,11.21,23.99,42.59,17.24,0.464,46179.66,21.72
Sub-Saharan Africa,2021,85823460,21.42,1838338.51,59.95,50.92,17.85,15.75,62.94,26.72,0.833,50159.22,45.81
Northern America,2024,170406260,23.7,4038628.36,22.5,15.48,74.82,10.17,49.26,27.89,0.438,49382.97,89.63
Central Asia,2021,184999817,20.5,3792496.25,38.4,8.58,0.13,18.75,67.6,10.49,0.544,4242.38,69.06
Eastern Asia,2021,143636672,16.86,2421714.29,62.97,24.06,54.92,28.69,55.11,13.73,0.338,31312.03,18.1
Central Asia,2022,11222670,17.73,198977.94,18.94,16.58,3.67,22.24,27.41,22.61,0.138,32951.94,94.49
Eastern Asia,2023,224261660,16.58,3718258.32,52.79,11.27,68.26,23.76,68.54,29.91,0.082,17880.04,21.45
Latin America and the Caribbean,2023,238801777,10.49,2505030.64,27.31,17.56,54.19,34.86,67.19,17.18,0.344,42687.39,86.59
Northern America,2020,41123049,10.72,440839.09,28.58,15.1,79.13,26.39,6.23,25.36,0.712,54671.29,44.95
South-Eastern Asia,2021,172352499,16.31,2811069.26,69.25,29.07,22.03,34.58,43.78,1.7,0.973,48074.26,27.87
Southern Asia,2020,140370367,9.78,1372822.19,,14.62,41.19,19.79,46.27,13.19,0.598,71570.2,87.11
Northern Africa,2020,207771290,29.97,6226905.56,51.11,13.55,20.98,30.86,12.24,27.63,0.444,44598.78,54.88
Oceania,2021,182850025,25.43,4649876.14,50.68,48.36,6.91,33.21,26.07,21.47,0.71,63983.3,27.08
Central Asia,2021,168481252,20.94,3527997.42,64.26,48.07,90.83,31.37,44.93,32.4,0.382,2154.25,28.47
Oceania,2021,83992792,19.48,1636179.59,73.65,52.48,69.55,36.67,15.9,34.77,0.056,23529.39,80.08
Northern America,2021,31876160,29.11,927915.02,49.71,19.06,4.41,24.71,8.23,6.89,0.844,28993.86,66.4
Northern Africa,2023,107389579,10.85,1165176.93,76.43,38.33,65.09,38.12,62.98,19.7,0.766,39531.88,32.7
Southern Asia,2021,158162441,23.86,3773755.84,37.52,31.63,61.82,25.13,39.99,4.2,0.29,77191.34,19.43
Central Asia,2024,122966056,4.07,500471.85,28.65,27.51,55.85,14.78,12.77,24.37,0.561,57340.28,43
Southern Asia,2024,127888361,4.14,529457.81,9.51,3.21,73.6,23.28,50.91,30.62,0.19,1290.54,78.68
Northern Africa,2023,208695608,18.4,3839999.19,32.61,6.35,29.77,22.4,12.15,0.72,0.379,39051.74,25.78
Europe,2021,77887706,3.4,264818.2,67.86,23.23,13.64,31.34,49.49,31.12,0.008,36860.75,47.62
South-Eastern Asia,2024,34740229,26.04,904635.56,54.71,7.64,54.35,38.93,42.6,25.56,0.903,13445.66,63.4
Latin America and the Caribbean,2024,92662011,19.45,1802276.11,8.81,5.82,49.72,13.66,36.37,24.98,0.745,1981.57,37.02
Central Asia,2021,78889213,15.45,1218838.34,83.54,55.93,63.16,33.34,35.55,27.69,0.644,59027.46,91.22
Sub-Saharan Africa,2023,247169185,4.39,1085072.72,7.58,4.48,59.52,27.49,9.3,23.45,0.701,unknown,64.85
Eastern Asia,2022,154591536,14.99,2317327.12,47.18,28.94,68.55,18.58,53.7,33.37,0.159,39501.51,18.86
Europe ,2023,201638427,25.68,5178074.81,75.87,63.83,23.47,28.64,37.44,1.02,0.781,17579.56,32.52
Central Asia,2021,129581182,7.88,1021099.71,22.64,12.49,47.1,27.73,44.43,1.54,0.396,53333.45,42.05
Northern America,2021,201531443,4.63,933090.58,69.09,66.87,92.06,19.83,37.74,25.41,0.256,32802.54,97.06
Europe,2021,220117117,11.54,2540151.53,34.55,18.27,63.13,29.02,55.59,12.08,0.126,54029.76,26.13
Northern Africa,2022,232145764,3.47,805545.8,59.78,16.24,44.93,12.86,67.06,21.32,0.933,14908.51,22.79
Latin America and the Caribbean,2021,69644843,11.32,788379.62,,24.57,52.6,39.34,17.19,22.69,0.533,22056.13,63.72
Northern America,2023,138792823,28.5,3955595.46,78.72,44.25,17.44,23.55,41.36,7.22,0.15,47134.88,80.42
Central Asia,2023,181197910,17.24,3123851.97,30.37,3.5,46.14,14.72,41.14,21.96,0.085,54951.46,60.98
South-Eastern Asia,2020,109855890,16.47,1809326.51,10.53,4.11,64.3,27.18,57,4.8,0.31,21871.57,16.86
Latin America and the Caribbean,2022,213077723,12.67,2699694.75,51.05,36.98,76.41,28.4,47.71,33.19,0.776,78109.41,29.94
Sub-Saharan Africa,2021,169116039,25.4,4295547.39,18.21,7.35,7.09,37.76,22.05,32.08,0.946,26772.25,93.72
Sub-Saharan Africa,2023,50431434,9.11,459430.36,66.97,22.18,12.76,39.04,66.78,30.43,0.753,,46.7
Northern America,2020,67766257,3.24,219562.67,30.81,9.19,56.5,24.76,39.52,34.96,0.257,41505.78,26
Latin America and the Caribbean,2021,53918876,25.16,1356598.92,150,31.8,83.09,33.99,18.89,31.02,0.488,31501.78,68.64
Western Asia,2021,187153780,12.43,2326321.49,36.81,16.97,96.66,23.99,67.83,34.87,0.956,37193.61,51.74
Sub Saharan Africa,2024,157339620,10.3,1620598.09,77.82,70.89,94.69,12.75,48.79,6.46,0.406,79712.72,88.62
Southern Asia,2023,138169853,-8.17,1128847.7,54.43,29.37,33.61,21.94,61.17,8.04,0.737,44068.58,18.75
Sub Saharan Africa,2024,9620185,20.69,199041.63,9.48,4.36,17.32,34.72,65.49,7.11,0.131,989.78,15.77
Central Asia,2024,162117996,4.82,781408.74,11.7,5.54,6.62,35.88,18.32,29.06,0.409,79579.5,97.24
Europe,2022,190489803,12.15,2314451.11,,47.65,79.11,34.21,56.42,33.27,0.524,34959.11,27.55
Latin America and the Caribbean,2020,217043337,25.64,5564991.16,21.93,3.08,13.51,29.35,7.86,21,0.905,51496.64,62.4
Northern Africa,2020,28825900,16.14,465250.03,17.89,14.56,76.1,17.68,23.67,30.09,0.709,68926.62,71.22
Northern Africa,2023,171549881,21.39,3669451.95,41.09,22.6,12.97,33,43.79,32.12,0.47,35888.96,57.97
South-Eastern Asia,2021,115395711,15.6,1800173.09,64.96,9.39,45.98,19.11,54.39,3.8,0.377,48917.59,65.34
Northern Africa,2024,164144661,13.58,2229084.5,7.66,6.36,68.19,31.57,40.09,18.03,0.283,35784.05,63.14
Sub-Saharan Africa,2023,76404243,11.56,883233.05,68.41,16.15,36.53,26.62,45.74,13.42,0.953,12703.86,97.3
Latin America and the Caribbean,2024,159581240,13.12,2093705.87,55.45,28.65,52.44,32.11,18.79,12.62,0.425,51494.61,96.63
Eastern Asia,2024,217988539,5.73,1249074.33,21.03,15.63,66.23,28.87,54.57,22.09,0.309,2493.21,
Northern Africa,2022,2765040,28.09,77669.97,62.33,54.54,87.9,11.6,35.65,3.81,0.565,19508.21,91.12
Eastern Asia,2024,194943156,18.29,3565510.32,42.74,24.58,84.75,38.55,30.72,26.82,0.171,,52.4
Europe,2021,62223710,18.45,1148027.45,49.54,38.89,59.72,38.32,33.12,11.77,0.851,32678.08,76.39
Eastern Asia,2020,37901517,20.04,759546.4,16.7,5.97,85.23,11.45,48.09,31.17,0.236,65008.66,82.12
Europe,2020,167559389,9.77,1637055.23,55.78,50.54,76.83,19.38,37.81,18.08,0.23,51467.37,33.11
Central Asia,2021,10151488,24.14,245056.92,13.15,5.41,46.31,24.94,47.05,5.96,0.984,29344.26,33.95
Latin America and the Caribbean,2024,228917181,14.75,3376528.42,59.14,16.45,7.28,24.75,46.03,33.58,0.954,32781.21,72.65
Latin America and the Caribbean,2022,85754815,29.58,2536627.43,35.95,33.62,54.22,29.19,13.53,13.83,0.675,75974.12,70.05
Southern Asia,2024,153084643,14.46,2213603.94,82.8,13.43,37.21,13.37,55.19,16.87,0.439,38991.42,94.59
Northern America,2021,134657835,3.25,437637.96,77.52,26.85,82.77,16.79,29.69,3.3,0.478,29264.81,81.2
South-Eastern Asia,2020,75161246,10.88,817754.36,52.27,5.46,92.36,31.15,42.76,15.79,0.974,66756.88,84.91
Sub-Saharan Africa,2020,9242845,20.12,185966.04,19.32,15.45,30.31,22.72,10.14,15.33,0.821,34739.93,22.89
Latin America and the Caribbean,2021,10275004,27.24,279891.11,42.68,14.07,48.76,33.69,12.45,26.04,0.498,76389.38,70.01
Northern Africa,2021,70977592,9.15,649444.97,16.27,8.46,1.89,30.55,15.47,2.59,0.616,66103.94,44.37
Sub-Saharan Africa,2021,112066788,17.11,1917462.74,38.41,30.17,5.23,38.3,67.6,8.88,0.873,38021.72,87.33
Northern America,2023,68879346,12.9,888543.56,76.79,7.68,21.36,14.34,65.58,7.62,0.533,5337.12,81.4
Sub Saharan Africa,2020,47297380,7.87,372230.38,67.94,61.16,46.11,36,47.9,1.26,0.246,65065.87,87.3
Northern America,2022,115558156,27.75,3206738.83,6.61,5.02,94.85,23.65,24.4,0.32,0.544,28951.3,37.15
Western Asia,2024,68914406,11.17,769773.92,61.23,50.52,15.72,33.61,38.52,12.63,0.133,58327.89,53.26
Western Asia,2023,191577420,-6.51,1247169,9.71,9.02,61.33,17.77,65.32,13.05,0.357,,60.36
Western Asia,2021,22644336,9.24,209233.66,7.63,7.54,15.79,39.98,60.1,3.86,0.721,36079.25,15.54
Latin America and the Caribbean,2020,245726469,10.88,2673503.98,76.24,10.69,27.47,14.6,63.7,34.51,0.906,18859,62.88
Europe,2024,92625864,12.25,1134666.83,37.97,32.7,93.25,33.11,21.67,26.63,0.124,44019.9,
Western Asia,2023,120067962,9.09,1091417.77,54.13,39.65,11.64,38.43,34.17,18.75,0.044,21433.52,60.79
Southern Asia,2024,89891567,8.52,765876.15,22.7,20.49,70.92,39.17,21.01,31.2,0.339,34845.54,71.86
Europe,2023,169459953,10.61,1797970.1,37.56,24.63,29.44,13.59,41.86,26.66,0.837,78931.45,16.99
South-Eastern Asia,2022,191026155,27.12,5180629.32,47.04,8.48,39.25,25.18,50.55,29.15,0.586,12295.9,68.53
South-Eastern Asia,2023,17583158,4.77,83871.66,84.75,61.15,3.44,18.78,52.1,21.81,0.231,,55.89
Oceania,2022,240260369,6.09,1463185.65,68.05,50.84,87.63,22.65,11.43,28.35,0.251,78997.56,97.16
Sub-Saharan Africa,2020,81669400,14.35,1171955.89,22.81,3.97,61.47,26.73,43.75,9.44,0.959,63098.55,68.5
Sub-Saharan Africa,2022,55099202,22.82,1257363.79,,8.25,63.96,35.8,51.29,29.97,0.589,13272.21,25.78
Northern Africa,2024,31320776,29.36,919577.98,34.48,24.11,89.51,17.16,56.52,9.61,0.468,58737.71,56.81
Europe,2020,159814561,29.09,4649005.58,17.76,8.65,40.58,34.25,53.52,14.93,0.205,9657.93,83.39
Oceania,2020,2378596,8.09,19242.84,76.55,40.39,52.05,35.8,9.12,17.72,0.599,7059.01,17.77
South-Eastern Asia,2023,233881141,4.18,977623.17,33.26,13.81,99.13,35.03,16.28,17.19,0.29,52796.51,16.4
Europe,2024,32067526,22.73,728894.87,55.27,53,58.35,32.68,7.08,16.41,0.404,36244.36,87.98
Eastern Asia,2024,160860338,14.43,2321214.68,44.23,17.94,56.28,22.88,38.2,5.5,0.222,67048.51,74.27
Southern Asia,2024,39000230,16.75,653253.85,71.51,32.6,17.75,33.87,5.34,12.56,0.614,60812.48,20.66
Europe,2021,110912413,4.83,535706.95,31.12,29.37,17.55,11.08,24.71,29.22,0.11,52079.9,49.24
Northern Africa,2024,224942830,17.51,3938748.95,19.28,17.75,34.55,20.34,60.31,29.56,0.457,25998.21,19.7
South-Eastern Asia,2024,52017462,9.96,518093.92,45.79,38.66,49.74,33.17,14.65,27.88,0.264,10018.03,52.71
Northern Africa,2021,237451047,23.31,5534983.91,81.4,37.83,11.63,22.33,48.75,31.98,0.868,11311.97,64.42
Northern America,2023,218329372,15.93,3477986.9,16.78,15.59,99.48,15.03,37.53,20.13,0.741,63156.94,35.31
Northern Africa,2021,192094605,27.32,5248024.61,21.56,13.72,82.22,36.58,26,3.65,0.231,16097.55,21.2
Northern America,2020,161778132,-5.26,850952.97,28.36,4.6,78.25,21.95,55.99,20.4,0.034,,
South-Eastern Asia,2020,94260275,4.04,380811.51,58.05,23.68,61.95,35.81,43.6,10.92,0.414,24985.8,88.6
South-Eastern Asia,2021,7617717,23.36,177949.87,64.08,8.71,99.69,36.73,25.31,3.13,0.19,77472.97,29.72
Southern Asia,2024,51460564,19.88,1023036.01,13.99,11.37,37.91,39.48,49.17,10.78,0.066,28187.83,25.44
Southern Asia,2024,212471479,11.22,2383929.99,8.54,7.18,27.95,23.93,56.76,17.82,0.585,32501.68,74.08
Europe,2022,147208721,4.68,688936.81,67.25,4.28,80.68,35.46,35.97,25.01,0.943,33503.07,23.48
Northern Africa,2023,223900707,6.1,1365794.31,18.29,16.25,33.62,38.44,36.17,10.04,0.286,51441.7,71.1
South-Eastern Asia,2024,119076091,29.97,3568710.45,19.45,9.8,64.44,14.01,20.1,5.36,0.958,18012.93,51.71
Central Asia,2020,182251896,5.63,1026078.17,25.55,15.43,22.21,20.32,12.75,13.08,0.752,54328.31,78.02
Latin America and the Caribbean,2021,121948430,3.45,420722.08,150,44.98,46.77,10.8,51.43,33.36,0.421,56789.76,88.52
Northern Africa,2021,188012608,21.02,3952025.02,11.12,10.78,43.86,18.24,13.77,27.97,0.025,9804.25,57.05
Europe,2020,62462291,23.26,1452872.89,53.35,10.46,51.1,36.02,68.06,22.82,0.742,2331.66,29.17
Sub-Saharan Africa,2020,137388149,9.54,1310682.94,22.27,5.43,87.79,28.77,68.4,17.51,0.149,24424.27,
Sub Saharan Africa,2022,218074506,17.28,3768327.46,21.65,21.05,1.09,23.66,13.35,26.06,0.605,4597.62,54.23
Northern Africa,2020,56033827,19.25,1078651.17,17.67,3.75,10.4,15.8,31.12,23.54,0.575,38980.31,86.56
Northern America,2022,143014210,14.18,2027941.5,,37.82,23.42,27.64,63.89,28.7,0.233,46351.18,43.15
Sub-Saharan Africa,2024,229836721,28.32,6508975.94,67.3,4.8,3.02,30.86,7.2,20.57,0.912,7747.68,76.4
Latin America and the Caribbean,2021,58639785,13.11,768767.58,80.95,20.68,40.79,14.09,23.58,2.5,0.242,,52.78
Northern America,2020,134422810,25.39,3412995.15,150,31.69,66.05,21.42,65.68,34.38,0.963,50478.73,20.11
Central Asia,2023,37581278,8.06,302905.1,79.54,16.49,13.33,21.04,11.15,1.73,0.494,59231.25,48.38
Eastern Asia,2022,131290247,16.81,2206989.05,150,30.67,1.28,23.03,56.51,9.52,0.975,2836.91,65.77
Western Asia,2024,235651805,23.58,5556669.56,66.34,27.52,47.15,32.81,67.45,9.38,0.248,69749.78,39.04
Sub-Saharan Africa,2023,124504574,18.43,2294619.3,71.06,23.68,9.6,30.74,20.64,16.85,0.072,69023.87,26.44
Northern Africa,2021,65449899,17.03,1114611.78,46.86,36.69,28.51,36.03,37.81,34.81,0.368,30159.47,78
Sub-Saharan Africa,2020,55099930,26.25,1446373.16,44.28,25.95,18.76,34.41,53.41,6.4,0.272,46486.59,74.51
Latin America and the Caribbean,2020,160637573,4.12,661826.8,20.13,6.99,84.79,31.46,38.76,28.15,0.675,36676.52,74.02
Sub-Saharan Africa,2021,76873997,27.56,2118647.36,68.4,23.57,40.75,21.24,5.85,31.83,0.113,,56.57
Southern Asia,2021,1824639,19.96,36419.79,69.93,44.19,59.51,16.56,56.39,2.79,0.145,59840.33,72.53
Northern America,2020,192766423,19.95,3845690.14,46.78,8.93,67.08,35.28,12.61,2.69,0.897,79948.53,54.95
Sub Saharan Africa,2024,72535796,10.89,789914.82,66.39,44.01,28.24,28.53,38.48,32.85,0.737,42675.49,
Northern Africa,2021,145405583,3.79,551087.16,74.7,4.13,77.28,23.27,60.11,26.87,0.206,51747.39,77.06
Northern America,2020,203945121,19.36,3948377.54,49.39,3.67,16.9,28.05,26.06,18.45,0.227,1357.62,75.24
Central Asia,2020,111260838,24.24,2696962.71,56.7,13.08,82.01,14.84,30.74,28.93,0.905,69427.48,87.83
Oceania,2020,23588733,19.73,465405.7,72.81,49.96,26.77,22.13,35.66,0.63,0.179,26292.36,68.92
Central Asia,2021,118666402,11.56,1371783.61,15.88,11.82,14.7,24.96,10.09,0.73,0.554,21515.52,48.89
Central Asia,2023,210316668,8.44,1775072.68,59.55,47.07,22.82,22.08,61.31,3.73,0.488,32864.66,49.96
Southern Asia,2020,75933490,8.88,674289.39,20.45,9.5,24.02,33.76,19.45,3.42,0.513,31586.55,85.19
Northern America,2023,69473331,13.72,953174.1,150,27.96,22.69,24.23,44.08,23.68,0.105,,27.22
Northern Africa,2023,84284048,5.32,448391.14,35.15,18.44,98.15,20.05,36.43,12.22,0.754,,86.82
Oceania,2024,123841167,12.15,1504670.18,47.62,33.05,41.62,17.02,49.12,27.69,0.209,49977.54,73.49
South-Eastern Asia,2022,44470250,2.87,127629.62,70.41,47.95,95.73,21.18,45.27,2.63,0.368,33056.58,60.89
South-Eastern Asia,2020,242959026,20.45,4968512.08,82.53,9.73,99.41,37.38,16.86,20.97,0.618,,19.39
Sub Saharan Africa,2021,92314969,3.11,287099.55,73.41,60.86,67.92,25.72,44.22,13.32,0.703,40649.88,22.95
Western Asia,2020,71134587,14.41,1025049.4,5.93,5.77,57.26,19.63,13.43,11.89,0.094,13981.84,41.67
Oceania,2022,93518910,15.87,1484145.1,64.03,47.78,72.73,37.82,40.9,26.8,0.281,unknown,35.31
Latin America and the Caribbean,2024,144908324,25.35,3673426.01,84.43,53.6,90.04,15.23,26.35,32.33,0.93,35458.88,50.14
Northern Africa,2020,38024455,3.88,147534.89,11.68,8.03,29.76,35.17,16.15,8.95,0.299,55443.18,89.29
South-Eastern Asia,2023,65743801,23.88,1569961.97,9.78,4.67,49.11,22.52,16.54,12.42,0.822,5628.62,37.76
Sub-Saharan Africa,2022,188062578,19.51,3669100.9,59.92,37.77,60.1,38.48,60.27,26.16,0.022,51102.18,56.1
Central Asia,2022,134051910,21.99,2947801.5,20.52,8.36,81.62,37.79,31.85,5.8,0.868,20236.74,40.42
Northern America,2024,46293850,29.2,1351780.42,65.01,55.49,49.1,21.79,6.33,11.95,0.717,12363.4,22.05
Central Asia,2022,174638997,12.5,2182987.46,64.81,62.22,25.78,13.86,33.04,16.86,0.9,68581.54,47.62
Western Asia,2020,232611020,17.54,4079997.29,,10.34,10.46,15.69,32.08,10.12,0.953,17262.57,68.24
Northern Africa,2020,60220304,25.78,1552479.44,30.18,10.47,27.76,21.94,23.48,14.19,0.039,,
South-Eastern Asia,2021,43632795,19.09,832950.06,83.18,57.35,47.28,21.18,13.54,32.1,0.054,10282.71,77.72
Oceania,2023,129257659,21.68,2802306.05,20.04,19.26,53.55,11.31,23.72,10.28,0.772,51699.47,76.42
Oceania,2020,34272792,5.43,186101.26,79.5,19.57,82.13,13.45,11.39,7.09,0.472,22722.31,89.15
Sub Saharan Africa,2023,25156801,28.81,724767.44,43.01,23.28,10.23,19.63,23.6,20.51,0.395,1488.09,22.53
South-Eastern Asia,2023,141433155,23.07,3262862.89,82.9,19.09,98.63,16.61,48.04,12.51,0.425,5361.23,15.36
Sub-Saharan Africa,2021,169522661,20.59,3490471.59,60.07,40.23,17.82,32.62,53.62,15.68,0.133,31433.19,36.82
Western Asia,2024,239769186,11.92,2858048.7,61.38,23.95,2.04,34.86,19.11,10.53,0.427,,20.27
Eastern Asia,2022,202002922,5.16,1042335.08,20.55,7.88,76.9,36.47,68.25,32.86,0.336,17465.71,92.59
Eastern Asia,2020,209173945,10.71,2240252.95,68.83,38.52,73.3,27.85,9.63,2.1,0.611,22016.37,95.86
Europe,2024,119589095,28.54,3413072.77,26.34,20.67,21.65,11.65,58.73,30.44,0.061,62178.95,83.19
Western Asia,2023,144711788,24.61,3561357.1,9.99,4.1,93.43,20.35,10.89,33.73,0.21,66730.06,95.65
Sub-Saharan Africa,2022,49485947,19.4,960027.37,80.77,71.71,77.03,38.99,19.26,6.82,0.612,3068.11,
Eastern Asia,2022,172803661,-8.71,1505119.89,80.72,44.57,43.64,37.07,16.5,14.8,0.1,38480.16,76.35
South-Eastern Asia,2023,171085420,10.66,1823770.58,73.92,34.84,93.87,39.99,26.14,15.39,0.826,61305.87,92.35
Sub-Saharan Africa,2022,213975087,24.89,5325839.92,62.76,40.51,37.02,26.9,5.22,9.78,0.027,43278.74,38.71
Central Asia,2023,204959181,19.69,4035646.27,66.15,36.83,82.05,20.81,67.52,2.46,0.898,19044.86,95.06
Northern America,2022,177084829,16.08,2847524.05,28.86,19.82,41.79,37,29.35,1.16,0.227,35042.71,31.13
Europe,2023,118324615,13.21,1563068.16,23.43,10.24,10.42,25.79,34.9,14.01,0.675,,33.72
Western Asia,2020,185395161,17.35,3216606.04,28.3,22.43,19.48,28.16,14.75,14.81,0.927,18487.43,97.62
Western Asia,2024,111193765,20.05,2229434.99,84.72,3.27,39.84,18.49,14.61,7.73,0.646,63525.57,78.82
Sub-Saharan Africa,2020,42460612,3.85,163473.36,6.46,3.64,10.83,27.18,40.15,34.16,0.113,1927.44,24.37
Central Asia,2024,21563518,19.09,411647.56,73.09,58.22,74.34,23.04,24.63,5.26,0.205,3979.45,50.36
Northern Africa,2021,50163317,3.06,153499.75,83.07,7.89,45.76,31.95,39.96,1.35,0.945,46460.12,23.73
Sub Saharan Africa,2023,156140586,3.45,538685.02,50.04,13.97,1.24,18.8,21.58,33.84,0.979,21355.95,61.68
